,game_number,victory_rank,survival_rank,tactic_rank,overall_rank,units
0,0,F,A,S,D,Kent-Lucius-Lyn
1,1,F,B,S,D,Matthew-Guy-Lyn
2,2,F,A,S,D,Matthew-Heath-Hector
3,3,S,S,S,S,Rath-Bartre-Lyn
4,4,F,A,S,D,Florina-Rebecca-Lyn
5,5,F,S,S,D,Raven-Rath-Lyn
6,6,S,S,S,S,Lucius-Marcus-Hector
7,7,S,S,A,S,Marcus-Oswin-Lyn
8,8,S,S,S,S,Canas-Raven-Hector
9,9,S,S,S,S,Guy-Dart-Hector
10,10,S,S,S,S,Oswin-Canas-Lyn
11,11,S,S,S,S,Erk-Lucius-Lyn
12,12,F,B,S,D,Lowen-Kent-Eliwood
13,13,S,S,S,S,Kent-Lowen-Hector
14,14,S,S,S,S,Oswin-Rath-Eliwood
15,15,F,A,S,D,Lucius-Lowen-Lyn
16,16,S,S,S,S,Erk-Sain-Lyn
17,17,F,A,S,D,Canas-Kent-Hector
18,18,S,S,A,S,Matthew-Kent-Lyn
19,19,S,S,S,S,Kent-Heath-Hector
20,20,F,S,S,D,Dart-Lucius-Lyn
21,21,S,S,S,S,Sain-Lowen-Hector
22,22,S,S,S,S,Oswin-Raven-Hector
23,23,S,B,S,A,Kent-Rebecca-Hector
24,24,F,B,S,D,Rebecca-Erk-Hector
25,25,F,S,S,D,Dorcas-Rebecca-Eliwood
26,26,S,S,S,S,Matthew-Raven-Hector
27,27,F,S,S,D,Sain-Raven-Lyn
28,28,F,A,S,D,Rebecca-Matthew-Eliwood
29,29,S,S,S,S,Kent-Marcus-Eliwood
30,30,S,A,S,S,Canas-Dorcas-Eliwood
31,31,F,S,S,D,Sain-Florina-Eliwood
32,32,S,S,S,S,Rebecca-Canas-Eliwood
33,33,F,S,S,D,Raven-Marcus-Eliwood
34,34,F,S,S,D,Canas-Rebecca-Lyn
35,35,F,A,F,F,Rebecca-Florina-Hector
36,36,S,S,S,S,Raven-Sain-Eliwood
37,37,S,S,S,S,Dart-Florina-Lyn
38,38,F,S,S,D,Raven-Guy-Lyn
39,39,F,B,S,D,Rebecca-Sain-Hector
40,40,F,A,S,D,Florina-Guy-Eliwood
41,41,F,B,S,D,Lucius-Matthew-Eliwood
42,42,F,S,S,D,Marcus-Florina-Hector
43,43,F,S,S,D,Dart-Dorcas-Eliwood
44,44,S,A,S,S,Lowen-Marcus-Lyn
45,45,F,B,S,D,Lowen-Kent-Eliwood
46,46,F,S,S,D,Erk-Sain-Lyn
47,47,S,S,S,S,Guy-Rath-Hector
48,48,S,S,S,S,Kent-Dart-Lyn
49,49,F,S,S,D,Rebecca-Oswin-Eliwood
50,50,F,S,S,D,Florina-Kent-Eliwood
51,51,F,S,S,D,Rath-Erk-Eliwood
52,52,S,S,B,A,Kent-Florina-Lyn
53,53,S,S,S,S,Guy-Dorcas-Eliwood
54,54,S,S,S,S,Lowen-Heath-Hector
55,55,S,S,S,S,Oswin-Dorcas-Eliwood
56,56,S,S,S,S,Canas-Dorcas-Eliwood
57,57,S,A,S,S,Marcus-Bartre-Lyn
58,58,S,A,S,S,Rebecca-Canas-Lyn
59,59,F,S,S,D,Sain-Lucius-Eliwood
60,60,F,B,S,D,Kent-Dorcas-Hector
61,61,F,S,S,D,Guy-Kent-Lyn
62,62,F,S,S,D,Bartre-Heath-Eliwood
63,63,S,A,S,S,Rebecca-Dart-Lyn
64,64,S,A,A,A,Heath-Rebecca-Hector
65,65,S,S,A,S,Rebecca-Marcus-Eliwood
66,66,S,S,B,A,Guy-Rebecca-Hector
67,67,F,A,S,D,Raven-Erk-Lyn
68,68,F,S,S,D,Lucius-Matthew-Hector
69,69,S,S,S,S,Kent-Florina-Hector
70,70,F,S,S,D,Rebecca-Lucius-Eliwood
71,71,S,S,S,S,Rath-Canas-Lyn
72,72,S,S,S,S,Raven-Dart-Lyn
73,73,F,S,S,D,Kent-Guy-Eliwood
74,74,S,A,S,S,Rebecca-Rebecca-Hector
75,75,S,S,B,A,Rath-Dorcas-Hector
76,76,F,S,S,D,Canas-Lucius-Lyn
77,77,F,S,S,D,Rath-Sain-Lyn
78,78,S,S,S,S,Canas-Guy-Hector
79,79,S,S,S,S,Bartre-Canas-Hector
80,80,S,A,S,S,Oswin-Dart-Eliwood
81,81,S,S,S,S,Rath-Bartre-Lyn
82,82,S,S,S,S,Oswin-Dart-Lyn
83,83,F,S,S,D,Oswin-Guy-Eliwood
84,84,S,A,S,S,Dorcas-Kent-Hector
85,85,S,S,S,S,Erk-Dorcas-Hector
86,86,S,S,A,S,Marcus-Rebecca-Eliwood
87,87,F,S,S,D,Matthew-Guy-Lyn
88,88,S,B,S,A,Lucius-Rebecca-Hector
89,89,S,B,S,A,Lucius-Florina-Lyn
90,90,S,S,S,S,Florina-Heath-Lyn
91,91,F,S,S,D,Rebecca-Erk-Lyn
92,92,F,S,S,D,Bartre-Matthew-Eliwood
93,93,S,S,S,S,Heath-Lucius-Lyn
94,94,S,S,S,S,Erk-Matthew-Eliwood
95,95,F,S,S,D,Guy-Dorcas-Eliwood
96,96,S,S,S,S,Dorcas-Marcus-Eliwood
97,97,F,S,S,D,Rath-Bartre-Eliwood
98,98,S,S,S,S,Oswin-Lucius-Eliwood
99,99,F,S,S,D,Lowen-Lucius-Hector
100,100,S,S,S,S,Bartre-Rebecca-Hector
101,101,F,A,S,D,Heath-Matthew-Eliwood
102,102,F,S,S,D,Matthew-Kent-Eliwood
103,103,S,S,A,S,Matthew-Dart-Lyn
104,104,S,S,S,S,Rath-Heath-Lyn
105,105,S,S,S,S,Canas-Kent-Eliwood
106,106,F,S,S,D,Lowen-Bartre-Eliwood
107,107,S,A,S,S,Lucius-Dart-Eliwood
108,108,S,S,S,S,Canas-Guy-Lyn
109,109,F,B,S,D,Dorcas-Matthew-Lyn
110,110,S,S,S,S,Oswin-Erk-Lyn
111,111,F,S,S,D,Erk-Lowen-Lyn
112,112,S,S,S,S,Oswin-Raven-Lyn
113,113,S,A,S,S,Lowen-Lucius-Eliwood
114,114,F,S,S,D,Erk-Dorcas-Hector
115,115,F,B,S,D,Sain-Dorcas-Hector
116,116,F,S,S,D,Rath-Raven-Eliwood
117,117,F,S,S,D,Heath-Lucius-Lyn
118,118,S,A,S,S,Dart-Rebecca-Eliwood
119,119,F,S,S,D,Heath-Kent-Hector
120,120,F,S,S,D,Matthew-Guy-Eliwood
121,121,S,S,S,S,Marcus-Raven-Hector
122,122,S,A,S,S,Lucius-Matthew-Eliwood
123,123,S,S,S,S,Florina-Lowen-Hector
124,124,S,A,S,S,Heath-Guy-Eliwood
125,125,S,S,S,S,Guy-Dorcas-Lyn
126,126,F,S,S,D,Kent-Dart-Hector
127,127,S,S,S,S,Bartre-Heath-Lyn
128,128,S,S,S,S,Kent-Rath-Eliwood
129,129,F,A,S,D,Erk-Matthew-Lyn
130,130,F,A,S,D,Guy-Rebecca-Lyn
131,131,F,S,S,D,Rath-Oswin-Eliwood
132,132,F,B,S,D,Erk-Canas-Hector
133,133,F,S,S,D,Florina-Bartre-Hector
134,134,F,S,S,D,Erk-Marcus-Lyn
135,135,S,A,S,S,Erk-Oswin-Lyn
136,136,S,S,S,S,Erk-Canas-Lyn
137,137,S,S,S,S,Rebecca-Lucius-Eliwood
138,138,S,S,S,S,Dart-Canas-Eliwood
139,139,S,S,S,S,Heath-Guy-Eliwood
140,140,F,S,S,D,Heath-Kent-Lyn
141,141,S,S,S,S,Heath-Rath-Hector
142,142,F,S,S,D,Rath-Marcus-Lyn
143,143,S,S,S,S,Marcus-Rebecca-Hector
144,144,F,S,S,D,Dorcas-Heath-Lyn
145,145,S,S,S,S,Kent-Oswin-Eliwood
146,146,S,S,S,S,Oswin-Raven-Lyn
147,147,F,S,S,D,Matthew-Canas-Lyn
148,148,S,S,S,S,Erk-Florina-Lyn
149,149,S,S,S,S,Lucius-Raven-Hector
150,150,F,S,S,D,Raven-Dorcas-Lyn
151,151,S,A,S,S,Matthew-Lucius-Lyn
152,152,S,S,S,S,Canas-Oswin-Lyn
153,153,S,A,S,S,Rebecca-Kent-Hector
154,154,S,S,S,S,Kent-Marcus-Hector
155,155,S,S,S,S,Heath-Lowen-Eliwood
156,156,F,S,S,D,Rath-Erk-Eliwood
157,157,S,S,S,S,Rath-Kent-Hector
158,158,F,B,S,D,Erk-Kent-Lyn
159,159,F,S,S,D,Bartre-Kent-Lyn
160,160,F,S,S,D,Lowen-Sain-Lyn
161,161,F,S,S,D,Rath-Matthew-Lyn
162,162,S,S,S,S,Rath-Oswin-Lyn
163,163,S,B,S,A,Dart-Kent-Hector
164,164,S,S,S,S,Dorcas-Heath-Hector
165,165,F,B,S,D,Rebecca-Dorcas-Hector
166,166,S,S,S,S,Kent-Canas-Hector
167,167,F,S,S,D,Guy-Rebecca-Lyn
168,168,F,S,S,D,Rebecca-Dart-Lyn
169,169,S,S,S,S,Matthew-Lucius-Hector
170,170,F,S,S,D,Kent-Bartre-Lyn
171,171,F,A,S,D,Dart-Rebecca-Lyn
172,172,S,S,B,A,Canas-Oswin-Hector
173,173,S,A,S,S,Rebecca-Sain-Hector
174,174,F,S,S,D,Erk-Raven-Hector
175,175,S,S,S,S,Lucius-Oswin-Eliwood
176,176,S,S,S,S,Dorcas-Dart-Hector
177,177,S,B,S,A,Rebecca-Sain-Hector
178,178,S,S,S,S,Oswin-Raven-Hector
